"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value","model"
2024-11-30,"Alabama",0,"wk inc flu hosp",2024-11-30,"quantile",0.5,62.5179871039044,"argo2_raw"
2024-11-30,"Alabama",1,"wk inc flu hosp",2024-12-07,"quantile",0.5,59.1714502574845,"argo2_raw"
2024-11-30,"Alabama",2,"wk inc flu hosp",2024-12-14,"quantile",0.5,49.5154201361361,"argo2_raw"
2024-11-30,"Alabama",3,"wk inc flu hosp",2024-12-21,"quantile",0.5,45.9239094876961,"argo2_raw"
2024-11-30,"Alaska",0,"wk inc flu hosp",2024-11-30,"quantile",0.5,4.00856633407056,"argo2_raw"
2024-11-30,"Alaska",1,"wk inc flu hosp",2024-12-07,"quantile",0.5,3.93070873561717,"argo2_raw"
2024-11-30,"Alaska",2,"wk inc flu hosp",2024-12-14,"quantile",0.5,2.37576628057154,"argo2_raw"
2024-11-30,"Alaska",3,"wk inc flu hosp",2024-12-21,"quantile",0.5,1.64924695596011,"argo2_raw"
2024-11-30,"Arizona",0,"wk inc flu hosp",2024-11-30,"quantile",0.5,540.305620355612,"argo2_raw"
2024-11-30,"Arizona",1,"wk inc flu hosp",2024-12-07,"quantile",0.5,531.695749935822,"argo2_raw"
2024-11-30,"Arizona",2,"wk inc flu hosp",2024-12-14,"quantile",0.5,516.536776543078,"argo2_raw"
2024-11-30,"Arizona",3,"wk inc flu hosp",2024-12-21,"quantile",0.5,512.499476961441,"argo2_raw"
2024-11-30,"Arkansas",0,"wk inc flu hosp",2024-11-30,"quantile",0.5,14.6346542687621,"argo2_raw"
2024-11-30,"Arkansas",1,"wk inc flu hosp",2024-12-07,"quantile",0.5,16.488111251175,"argo2_raw"
2024-11-30,"Arkansas",2,"wk inc flu hosp",2024-12-14,"quantile",0.5,0.187068610135915,"argo2_raw"
2024-11-30,"Arkansas",3,"wk inc flu hosp",2024-12-21,"quantile",0.5,-1.68963327471105,"argo2_raw"
2024-11-30,"California",0,"wk inc flu hosp",2024-11-30,"quantile",0.5,490.430268710769,"argo2_raw"
2024-11-30,"California",1,"wk inc flu hosp",2024-12-07,"quantile",0.5,467.508256675118,"argo2_raw"
2024-11-30,"California",2,"wk inc flu hosp",2024-12-14,"quantile",0.5,410.412031606524,"argo2_raw"
2024-11-30,"California",3,"wk inc flu hosp",2024-12-21,"quantile",0.5,396.751064499787,"argo2_raw"
2024-11-30,"Colorado",0,"wk inc flu hosp",2024-11-30,"quantile",0.5,39.4648110827418,"argo2_raw"
2024-11-30,"Colorado",1,"wk inc flu hosp",2024-12-07,"quantile",0.5,42.8576748326408,"argo2_raw"
2024-11-30,"Colorado",2,"wk inc flu hosp",2024-12-14,"quantile",0.5,31.5500265766402,"argo2_raw"
2024-11-30,"Colorado",3,"wk inc flu hosp",2024-12-21,"quantile",0.5,28.2880854263904,"argo2_raw"
2024-11-30,"Connecticut",0,"wk inc flu hosp",2024-11-30,"quantile",0.5,24.0275098737614,"argo2_raw"
2024-11-30,"Connecticut",1,"wk inc flu hosp",2024-12-07,"quantile",0.5,19.5302534905547,"argo2_raw"
2024-11-30,"Connecticut",2,"wk inc flu hosp",2024-12-14,"quantile",0.5,4.15308164814534,"argo2_raw"
2024-11-30,"Connecticut",3,"wk inc flu hosp",2024-12-21,"quantile",0.5,-1.51787007911433,"argo2_raw"
2024-11-30,"Delaware",0,"wk inc flu hosp",2024-11-30,"quantile",0.5,15.1390450381771,"argo2_raw"
2024-11-30,"Delaware",1,"wk inc flu hosp",2024-12-07,"quantile",0.5,13.5996280155834,"argo2_raw"
2024-11-30,"Delaware",2,"wk inc flu hosp",2024-12-14,"quantile",0.5,12.348850422083,"argo2_raw"
2024-11-30,"Delaware",3,"wk inc flu hosp",2024-12-21,"quantile",0.5,12.0048226729781,"argo2_raw"
2024-11-30,"District of Columbia",0,"wk inc flu hosp",2024-11-30,"quantile",0.5,7.44016333713952,"argo2_raw"
2024-11-30,"District of Columbia",1,"wk inc flu hosp",2024-12-07,"quantile",0.5,7.269231067926,"argo2_raw"
2024-11-30,"District of Columbia",2,"wk inc flu hosp",2024-12-14,"quantile",0.5,5.88579897901331,"argo2_raw"
2024-11-30,"District of Columbia",3,"wk inc flu hosp",2024-12-21,"quantile",0.5,5.65445139844321,"argo2_raw"
2024-11-30,"Florida",0,"wk inc flu hosp",2024-11-30,"quantile",0.5,446.260992767219,"argo2_raw"
2024-11-30,"Florida",1,"wk inc flu hosp",2024-12-07,"quantile",0.5,456.612961828325,"argo2_raw"
2024-11-30,"Florida",2,"wk inc flu hosp",2024-12-14,"quantile",0.5,424.346383215978,"argo2_raw"
2024-11-30,"Florida",3,"wk inc flu hosp",2024-12-21,"quantile",0.5,412.785546780644,"argo2_raw"
2024-11-30,"Georgia",0,"wk inc flu hosp",2024-11-30,"quantile",0.5,73.0086801890094,"argo2_raw"
2024-11-30,"Georgia",1,"wk inc flu hosp",2024-12-07,"quantile",0.5,72.3448948875428,"argo2_raw"
2024-11-30,"Georgia",2,"wk inc flu hosp",2024-12-14,"quantile",0.5,51.9659943101575,"argo2_raw"
2024-11-30,"Georgia",3,"wk inc flu hosp",2024-12-21,"quantile",0.5,48.3372503135326,"argo2_raw"
2024-11-30,"Hawaii",0,"wk inc flu hosp",2024-11-30,"quantile",0.5,7.57660266398237,"argo2_raw"
2024-11-30,"Hawaii",1,"wk inc flu hosp",2024-12-07,"quantile",0.5,6.83311019884944,"argo2_raw"
2024-11-30,"Hawaii",2,"wk inc flu hosp",2024-12-14,"quantile",0.5,5.99324065188055,"argo2_raw"
2024-11-30,"Hawaii",3,"wk inc flu hosp",2024-12-21,"quantile",0.5,5.62781038113973,"argo2_raw"
2024-11-30,"Idaho",0,"wk inc flu hosp",2024-11-30,"quantile",0.5,41.1018383358466,"argo2_raw"
2024-11-30,"Idaho",1,"wk inc flu hosp",2024-12-07,"quantile",0.5,40.2995148211838,"argo2_raw"
2024-11-30,"Idaho",2,"wk inc flu hosp",2024-12-14,"quantile",0.5,32.481157505252,"argo2_raw"
2024-11-30,"Idaho",3,"wk inc flu hosp",2024-12-21,"quantile",0.5,29.0717105386172,"argo2_raw"
2024-11-30,"Illinois",0,"wk inc flu hosp",2024-11-30,"quantile",0.5,98.8357642093286,"argo2_raw"
2024-11-30,"Illinois",1,"wk inc flu hosp",2024-12-07,"quantile",0.5,96.4355142587295,"argo2_raw"
2024-11-30,"Illinois",2,"wk inc flu hosp",2024-12-14,"quantile",0.5,64.6940525138435,"argo2_raw"
2024-11-30,"Illinois",3,"wk inc flu hosp",2024-12-21,"quantile",0.5,55.3146738938025,"argo2_raw"
2024-11-30,"Indiana",0,"wk inc flu hosp",2024-11-30,"quantile",0.5,67.5379976898292,"argo2_raw"
2024-11-30,"Indiana",1,"wk inc flu hosp",2024-12-07,"quantile",0.5,72.1646471912747,"argo2_raw"
2024-11-30,"Indiana",2,"wk inc flu hosp",2024-12-14,"quantile",0.5,33.9689130632644,"argo2_raw"
2024-11-30,"Indiana",3,"wk inc flu hosp",2024-12-21,"quantile",0.5,24.0401583948407,"argo2_raw"
2024-11-30,"Iowa",0,"wk inc flu hosp",2024-11-30,"quantile",0.5,13.7297265173117,"argo2_raw"
2024-11-30,"Iowa",1,"wk inc flu hosp",2024-12-07,"quantile",0.5,15.3847390204165,"argo2_raw"
2024-11-30,"Iowa",2,"wk inc flu hosp",2024-12-14,"quantile",0.5,6.69439181212054,"argo2_raw"
2024-11-30,"Iowa",3,"wk inc flu hosp",2024-12-21,"quantile",0.5,2.76755484215208,"argo2_raw"
2024-11-30,"Kansas",0,"wk inc flu hosp",2024-11-30,"quantile",0.5,24.7782272984058,"argo2_raw"
2024-11-30,"Kansas",1,"wk inc flu hosp",2024-12-07,"quantile",0.5,23.6651765428065,"argo2_raw"
2024-11-30,"Kansas",2,"wk inc flu hosp",2024-12-14,"quantile",0.5,14.5792840562485,"argo2_raw"
2024-11-30,"Kansas",3,"wk inc flu hosp",2024-12-21,"quantile",0.5,11.2792860315085,"argo2_raw"
2024-11-30,"Kentucky",0,"wk inc flu hosp",2024-11-30,"quantile",0.5,38.6761407227521,"argo2_raw"
2024-11-30,"Kentucky",1,"wk inc flu hosp",2024-12-07,"quantile",0.5,33.1302234695752,"argo2_raw"
2024-11-30,"Kentucky",2,"wk inc flu hosp",2024-12-14,"quantile",0.5,7.55071853083208,"argo2_raw"
2024-11-30,"Kentucky",3,"wk inc flu hosp",2024-12-21,"quantile",0.5,0.651794065712156,"argo2_raw"
2024-11-30,"Louisiana",0,"wk inc flu hosp",2024-11-30,"quantile",0.5,84.5748796439465,"argo2_raw"
2024-11-30,"Louisiana",1,"wk inc flu hosp",2024-12-07,"quantile",0.5,83.2327306383069,"argo2_raw"
2024-11-30,"Louisiana",2,"wk inc flu hosp",2024-12-14,"quantile",0.5,70.5039040993022,"argo2_raw"
2024-11-30,"Louisiana",3,"wk inc flu hosp",2024-12-21,"quantile",0.5,67.5345840214119,"argo2_raw"
2024-11-30,"Maine",0,"wk inc flu hosp",2024-11-30,"quantile",0.5,7.34419318341135,"argo2_raw"
2024-11-30,"Maine",1,"wk inc flu hosp",2024-12-07,"quantile",0.5,9.19632972174106,"argo2_raw"
2024-11-30,"Maine",2,"wk inc flu hosp",2024-12-14,"quantile",0.5,3.40096920164732,"argo2_raw"
2024-11-30,"Maine",3,"wk inc flu hosp",2024-12-21,"quantile",0.5,0.921526292056712,"argo2_raw"
2024-11-30,"Maryland",0,"wk inc flu hosp",2024-11-30,"quantile",0.5,30.2639752850201,"argo2_raw"
2024-11-30,"Maryland",1,"wk inc flu hosp",2024-12-07,"quantile",0.5,29.0611830462907,"argo2_raw"
2024-11-30,"Maryland",2,"wk inc flu hosp",2024-12-14,"quantile",0.5,17.427832015384,"argo2_raw"
2024-11-30,"Maryland",3,"wk inc flu hosp",2024-12-21,"quantile",0.5,13.1651945269574,"argo2_raw"
2024-11-30,"Massachusetts",0,"wk inc flu hosp",2024-11-30,"quantile",0.5,77.8569193112734,"argo2_raw"
2024-11-30,"Massachusetts",1,"wk inc flu hosp",2024-12-07,"quantile",0.5,89.3283554883853,"argo2_raw"
2024-11-30,"Massachusetts",2,"wk inc flu hosp",2024-12-14,"quantile",0.5,63.5065397733445,"argo2_raw"
2024-11-30,"Massachusetts",3,"wk inc flu hosp",2024-12-21,"quantile",0.5,52.5233165215343,"argo2_raw"
2024-11-30,"Michigan",0,"wk inc flu hosp",2024-11-30,"quantile",0.5,93.91382651938,"argo2_raw"
2024-11-30,"Michigan",1,"wk inc flu hosp",2024-12-07,"quantile",0.5,111.305992832586,"argo2_raw"
2024-11-30,"Michigan",2,"wk inc flu hosp",2024-12-14,"quantile",0.5,76.5238146031324,"argo2_raw"
2024-11-30,"Michigan",3,"wk inc flu hosp",2024-12-21,"quantile",0.5,66.6602368464394,"argo2_raw"
2024-11-30,"Minnesota",0,"wk inc flu hosp",2024-11-30,"quantile",0.5,22.7921899347523,"argo2_raw"
2024-11-30,"Minnesota",1,"wk inc flu hosp",2024-12-07,"quantile",0.5,22.2411961365533,"argo2_raw"
